Fecha,Casa,Casa Puntaje,Casa Porcentaje,Visitante,Visitante Puntaje,Visitante Porcentaje,Ganador Prediccion,Ganador Final,Ganancia
17-08-2024,UNI,2936.7140999999974,0,RMA,2575.182499999999,0,UNI,POR ASIGNAR,-1
17-08-2024,FCB,2208.9041999999986,0,RMA,2575.182499999999,0,RMA,POR ASIGNAR,-1
