Jug,Jugador,Eq,T1C,T1I,%T1,T2C,T2I,%T2,T3C,T3I,%T3
15-08-2024,Brae Ivey,GIR,4,5,80.0,0,4,0.0,5,11,45.5
17-08-2024,Brae Ivey,GIR,4,5,80.0,0,4,0.0,5,11,45.5
