Jug,Jugador,Eq,T1C,T1I,%T1,T2C,T2I,%T2,T3C,T3I,%T3
11-08-2024,Darío Brizuela,FCB,18,22,81.8,65,120,54.2,41,96,42.7
13-08-2024,Darío Brizuela,FCB,18,22,81.8,65,120,54.2,41,96,42.7
