Jug,Jugador,Eq,T1C,T1I,%T1,T2C,T2I,%T2,T3C,T3I,%T3
18-08-2024,Marek Blazevic,OBR,70,105,66.7,83,125,66.4,1,8,12.5
19-08-2024,Marek Blazevic,OBR,70,105,66.7,83,125,66.4,1,8,12.5
