Jug,Jugador,Eq,T1C,T1I,%T1,T2C,T2I,%T2,T3C,T3I,%T3
18-08-2024,Kevin Pangos,VBC,4,6,66.7,8,23,34.8,9,26,34.6
19-08-2024,Kevin Pangos,VBC,4,6,66.7,8,23,34.8,9,26,34.6
