Jug,Jugador,Eq,T1C,T1I,%T1,T2C,T2I,%T2,T3C,T3I,%T3
15-08-2024,Jacob Wiley,COV,10,16,62.5,38,57,66.7,5,16,31.3
17-08-2024,Jacob Wiley,COV,10,16,62.5,38,57,66.7,5,16,31.3
