Jug,Jugador,Eq,PJ,Min,Ritmo,Uso,UsoTC,EfOf,EfDef,EfNeta,Infl,%RbDf,%RbOf,%RbT,AsxPer,%As,%Tap,%TiroReal,EfTiro,EfTiroR
11-08-2024,Marko Todorovic,MUR,20,361,76.7,28,24,113.2,104.6,8.6,9.8,18,9,14,1.0,10,6,58,1.08,0.98
13-08-2024,Marko Todorovic,MUR,20,361,76.7,28,24,113.2,104.6,8.6,9.8,18,9,14,1.0,10,6,58,1.08,0.98
