Jug,Jugador,Eq,PJ,Min,Ritmo,Uso,UsoTC,EfOf,EfDef,EfNeta,Infl,%RbDf,%RbOf,%RbT,AsxPer,%As,%Tap,%TiroReal,EfTiro,EfTiroR
18-08-2024,Jerrick Harding,AND,27,631,78.9,33,33,114.5,117.0,-2.5,0.9,9,2,5,1.0,10,0,56,1.06,1.15
19-08-2024,Jerrick Harding,AND,27,631,78.9,33,33,114.5,117.0,-2.5,0.9,9,2,5,1.0,10,0,56,1.06,1.15
