Jug,Jugador,Eq,PJ,Min,Ritmo,Uso,UsoTC,EfOf,EfDef,EfNeta,Infl,%RbDf,%RbOf,%RbT,AsxPer,%As,%Tap,%TiroReal,EfTiro,EfTiroR
15-08-2024,Tyson Pérez,AND,22,479,76.9,25,20,110.5,114.9,-4.4,-4.4,23,12,17,0.5,5,2,61,1.15,1.16
17-08-2024,Tyson Pérez,AND,22,479,76.9,25,20,110.5,114.9,-4.4,-4.4,23,12,17,0.5,5,2,61,1.15,1.16
