Jug,Jugador,Eq,T1C,T1I,%T1,T2C,T2I,%T2,T3C,T3I,%T3
15-08-2024,David Kravish,UNI,20,23,87.0,114,201,56.7,9,33,27.3
17-08-2024,David Kravish,UNI,20,23,87.0,114,201,56.7,9,33,27.3
