Jug,Jugador,Eq,T1C,T1I,%T1,T2C,T2I,%T2,T3C,T3I,%T3
18-08-2024,Dustin Sleva,MUR,82,97,84.5,101,186,54.3,51,133,38.3
19-08-2024,Dustin Sleva,MUR,82,97,84.5,101,186,54.3,51,133,38.3
