Jug,Jugador,Eq,T1C,T1I,%T1,T2C,T2I,%T2,T3C,T3I,%T3
15-08-2024,Lluis Costa,COV,83,95,87.4,64,144,44.4,48,147,32.7
17-08-2024,Lluis Costa,COV,83,95,87.4,64,144,44.4,48,147,32.7
