Jug,Jugador,Eq,PJ,Min,Ritmo,Uso,UsoTC,EfOf,EfDef,EfNeta,Infl,%RbDf,%RbOf,%RbT,AsxPer,%As,%Tap,%TiroReal,EfTiro,EfTiroR
15-08-2024,Lluis Costa,COV,32,842,76.6,26,22,109.2,113.3,-4.2,5.2,9,2,5,2.1,31,0,53,0.93,1.13
17-08-2024,Lluis Costa,COV,32,842,76.6,26,22,109.2,113.3,-4.2,5.2,9,2,5,2.1,31,0,53,0.93,1.13
