Jug,Jugador,Eq,T1C,T1I,%T1,T2C,T2I,%T2,T3C,T3I,%T3
15-08-2024,Álex Abrines,FCB,28,35,80.0,13,33,39.4,47,105,44.8
17-08-2024,Álex Abrines,FCB,28,35,80.0,13,33,39.4,47,105,44.8
