Jug,Jugador,Eq,PJ,Min,Ritmo,Uso,UsoTC,EfOf,EfDef,EfNeta,Infl,%RbDf,%RbOf,%RbT,AsxPer,%As,%Tap,%TiroReal,EfTiro,EfTiroR
18-08-2024,Miquel Salvó,GCA,36,583,77.1,17,14,110.2,106.9,3.3,1.4,19,5,12,1.1,9,1,59,1.06,1.07
19-08-2024,Miquel Salvó,GCA,36,583,77.1,17,14,110.2,106.9,3.3,1.4,19,5,12,1.1,9,1,59,1.06,1.07
