Jug,Jugador,Eq,T1C,T1I,%T1,T2C,T2I,%T2,T3C,T3I,%T3
15-08-2024,Chumi Ortega,PAL,28,34,82.4,37,60,61.7,20,59,33.9
17-08-2024,Chumi Ortega,PAL,28,34,82.4,37,60,61.7,20,59,33.9
