Jug,Jugador,Eq,T1C,T1I,%T1,T2C,T2I,%T2,T3C,T3I,%T3
11-08-2024,Álvaro Muñoz,OBR,17,21,81.0,16,28,57.1,14,44,31.8
13-08-2024,Álvaro Muñoz,OBR,17,21,81.0,16,28,57.1,14,44,31.8
