Jug,Jugador,Eq,PJ,Min,Ritmo,Uso,UsoTC,EfOf,EfDef,EfNeta,Infl,%RbDf,%RbOf,%RbT,AsxPer,%As,%Tap,%TiroReal,EfTiro,EfTiroR
11-08-2024,Edgar Vicedo,CAN,25,198,78.9,10,10,112.4,115.0,-2.6,-7.4,16,4,10,1.8,7,3,59,1.13,1.11
13-08-2024,Edgar Vicedo,CAN,25,198,78.9,10,10,112.4,115.0,-2.6,-7.4,16,4,10,1.8,7,3,59,1.13,1.11
