Jug,Jugador,Eq,T1C,T1I,%T1,T2C,T2I,%T2,T3C,T3I,%T3
18-08-2024,Roko Badzim,OBR,9,13,69.2,11,28,39.3,14,42,33.3
19-08-2024,Roko Badzim,OBR,9,13,69.2,11,28,39.3,14,42,33.3
