Jug,Jugador,Eq,T1C,T1I,%T1,T2C,T2I,%T2,T3C,T3I,%T3
15-08-2024,Álex Suárez,OBR,7,8,87.5,6,13,46.2,14,38,36.8
17-08-2024,Álex Suárez,OBR,7,8,87.5,6,13,46.2,14,38,36.8
