Jug,Jugador,Eq,PJ,Min,Ritmo,Uso,UsoTC,EfOf,EfDef,EfNeta,Infl,%RbDf,%RbOf,%RbT,AsxPer,%As,%Tap,%TiroReal,EfTiro,EfTiroR
15-08-2024,David Jelínek,MUR,24,248,78.5,24,25,99.4,109.0,-9.6,-12.4,8,0,4,1.4,15,0,48,0.93,1.05
17-08-2024,David Jelínek,MUR,24,248,78.5,24,25,99.4,109.0,-9.6,-12.4,8,0,4,1.4,15,0,48,0.93,1.05
