Jug,Jugador,Eq,T1C,T1I,%T1,T2C,T2I,%T2,T3C,T3I,%T3
11-08-2024,Semi Ojeleye,VBC,89,115,77.4,86,153,56.2,54,123,43.9
13-08-2024,Semi Ojeleye,VBC,89,115,77.4,86,153,56.2,54,123,43.9
