Jug,Jugador,Eq,PJ,Min,Ritmo,Uso,UsoTC,EfOf,EfDef,EfNeta,Infl,%RbDf,%RbOf,%RbT,AsxPer,%As,%Tap,%TiroReal,EfTiro,EfTiroR
18-08-2024,Matej Rudan,BRE,24,306,74.0,21,17,95.9,113.2,-17.3,-7.0,13,7,10,1.1,10,1,52,0.91,1.11
19-08-2024,Matej Rudan,BRE,24,306,74.0,21,17,95.9,113.2,-17.3,-7.0,13,7,10,1.1,10,1,52,0.91,1.11
