Jug,Jugador,Eq,T1C,T1I,%T1,T2C,T2I,%T2,T3C,T3I,%T3
11-08-2024,Alpha Kaba,VBC,4,8,50.0,9,18,50.0,0,0,0.0
13-08-2024,Alpha Kaba,VBC,4,8,50.0,9,18,50.0,0,0,0.0
