Jug,Jugador,Eq,PJ,Min,Ritmo,Uso,UsoTC,EfOf,EfDef,EfNeta,Infl,%RbDf,%RbOf,%RbT,AsxPer,%As,%Tap,%TiroReal,EfTiro,EfTiroR
11-08-2024,Georgios Tsalmpouris,BLB,22,217,76.6,22,22,104.2,110.9,-6.7,-1.6,10,3,7,0.9,6,5,40,0.71,1.02
13-08-2024,Georgios Tsalmpouris,BLB,22,217,76.6,22,22,104.2,110.9,-6.7,-1.6,10,3,7,0.9,6,5,40,0.71,1.02
