Jug,Jugador,Eq,PJ,Min,Ritmo,Uso,UsoTC,EfOf,EfDef,EfNeta,Infl,%RbDf,%RbOf,%RbT,AsxPer,%As,%Tap,%TiroReal,EfTiro,EfTiroR
18-08-2024,Chris Jones,VBC,36,826,79.0,26,23,109.1,107.1,2.0,4.3,8,1,5,2.0,29,0,63,1.19,1.07
19-08-2024,Chris Jones,VBC,36,826,79.0,26,23,109.1,107.1,2.0,4.3,8,1,5,2.0,29,0,63,1.19,1.07
