Jug,Jugador,Eq,PJ,Min,Ritmo,Uso,UsoTC,EfOf,EfDef,EfNeta,Infl,%RbDf,%RbOf,%RbT,AsxPer,%As,%Tap,%TiroReal,EfTiro,EfTiroR
15-08-2024,Joe Thomasson,COV,20,622,76.0,25,23,109.1,113.5,-4.4,4.6,12,2,7,1.2,19,1,58,1.07,1.11
17-08-2024,Joe Thomasson,COV,20,622,76.0,25,23,109.1,113.5,-4.4,4.6,12,2,7,1.2,19,1,58,1.07,1.11
