Jug,Jugador,Eq,T1C,T1I,%T1,T2C,T2I,%T2,T3C,T3I,%T3
15-08-2024,Brandon Davies,VBC,101,138,73.2,139,254,54.7,21,49,42.9
17-08-2024,Brandon Davies,VBC,101,138,73.2,139,254,54.7,21,49,42.9
