Jug,Jugador,Eq,T1C,T1I,%T1,T2C,T2I,%T2,T3C,T3I,%T3
11-08-2024,Devin Robinson,MAN,93,118,78.8,170,312,54.5,22,82,26.8
13-08-2024,Devin Robinson,MAN,93,118,78.8,170,312,54.5,22,82,26.8
