Jug,Jugador,Eq,PJ,Min,Ritmo,Uso,UsoTC,EfOf,EfDef,EfNeta,Infl,%RbDf,%RbOf,%RbT,AsxPer,%As,%Tap,%TiroReal,EfTiro,EfTiroR
15-08-2024,Tim Abromaitis,CAN,36,796,75.2,16,17,113.1,115.9,-2.8,-8.9,17,5,11,1.2,4,1,62,1.19,1.14
17-08-2024,Tim Abromaitis,CAN,36,796,75.2,16,17,113.1,115.9,-2.8,-8.9,17,5,11,1.2,4,1,62,1.19,1.14
