Jug,Jugador,Eq,T1C,T1I,%T1,T2C,T2I,%T2,T3C,T3I,%T3
18-08-2024,Kyle Guy,CAN,57,74,77.0,51,100,51.0,40,106,37.7
19-08-2024,Kyle Guy,CAN,57,74,77.0,51,100,51.0,40,106,37.7
