Fecha,Hora,Casa,Visitante
Sep Sáb 28,18:00,Leyma Coruña,Surne Bilbao
Oct Sáb 28,18:00,Unicaja,Río Breogán
Oct Sáb 28,20:45,MoraBanc And,La Laguna TFE
Oct Sáb 28,20:45,UCAM Murcia,Coviran Granada
Oct Dom 29,12:30,Casademont Zgz,Bàsquet Girona
Nov Dom 29,17:00,BAXI Manresa,Baskonia
Nov Dom 29,20:30,Real Madrid,Barça
Nov Lun 30,18:00,Valencia Basket,Hiopos Lleida
Dic Lun 30,20:45,Joventut,Dreamland GC
Dic Jue 2,18:00,Surne Bilbao,MoraBanc And
Dic Jue 2,19:00,Río Breogán,BAXI Manresa
Dic Jue 2,20:30,UCAM Murcia,Unicaja
Dic Jue 2,21:30,La Laguna TFE,Casademont Zgz
Dic Mar 7,20:30,Bàsquet Girona,Barça
Ene Mié 8,20:00,Baskonia,Leyma Coruña
Feb Mié 8,20:30,Coviran Granada,Real Madrid
Feb Sáb 4,18:00,BAXI Manresa,UCAM Murcia
Feb Sáb 4,18:00,Hiopos Lleida,Bàsquet Girona
Feb Sáb 4,20:45,MoraBanc And,Río Breogán
Feb Sáb 4,20:45,Unicaja,Casademont Zgz
Feb Sáb 4,21:30,La Laguna TFE,Surne Bilbao
Feb Dom 5,12:30,Barça,Joventut
Mar Dom 5,12:30,Leyma Coruña,Valencia Basket
Mar Dom 5,12:30,Coviran Granada,Dreamland GC
Mar Lun 6,20:30,Baskonia,Real Madrid
Abr Sáb 11,18:00,Surne Bilbao,Unicaja
May Sáb 11,18:00,Valencia Basket,Coviran Granada
May Sáb 11,20:45,Casademont Zgz,BAXI Manresa
May Sáb 11,20:45,Joventut,MoraBanc And
May Dom 12,12:30,UCAM Murcia,Hiopos Lleida
Jun Dom 12,12:30,Río Breogán,Leyma Coruña
Jun Dom 12,13:00,Dreamland GC,Barça
Jun Dom 12,17:00,Bàsquet Girona,Baskonia
Jun Dom 12,17:00,Real Madrid,La Laguna TFE
Jun Sáb 18,18:00,Leyma Coruña,UCAM Murcia
Ago Sáb 18,18:00,BAXI Manresa,Joventut
Ago Sáb 18,20:45,La Laguna TFE,Bàsquet Girona
Ago Sáb 18,20:45,Unicaja,Valencia Basket
Ago Dom 19,12:30,Hiopos Lleida,Dreamland GC
Sep Dom 19,12:30,Coviran Granada,Casademont Zgz
Sep Dom 19,17:00,Barça,Surne Bilbao
Sep Dom 19,17:00,Baskonia,Río Breogán
Sep Dom 19,18:30,MoraBanc And,Real Madrid
Sep Sáb 25,18:00,Valencia Basket,BAXI Manresa
Oct Sáb 25,18:00,Río Breogán,Surne Bilbao
Oct Sáb 25,20:45,Bàsquet Girona,Unicaja
Oct Sáb 25,20:45,Joventut,Coviran Granada
Oct Dom 26,12:30,Casademont Zgz,MoraBanc And
Nov Dom 26,13:00,Dreamland GC,La Laguna TFE
Nov Dom 26,17:00,Hiopos Lleida,Baskonia
Nov Dom 26,17:00,Real Madrid,Leyma Coruña
Nov Dom 26,18:30,UCAM Murcia,Barça
Nov Sáb 1,18:00,Casademont Zgz,UCAM Murcia
Nov Sáb 1,18:00,Coviran Granada,Bàsquet Girona
Nov Sáb 1,20:45,MoraBanc And,Valencia Basket
Nov Sáb 1,20:45,Leyma Coruña,Dreamland GC
Nov Dom 2,12:30,Unicaja,Baskonia
Dic Dom 2,13:00,La Laguna TFE,Río Breogán
Dic Dom 2,17:00,Surne Bilbao,Hiopos Lleida
Dic Dom 2,17:00,Barça,BAXI Manresa
Dic Dom 2,18:30,Real Madrid,Joventut
Dic Sáb 8,18:00,BAXI Manresa,Surne Bilbao
Ene Sáb 8,18:00,Río Breogán,Unicaja
Ene Sáb 8,20:45,UCAM Murcia,La Laguna TFE
Ene Sáb 8,20:45,Joventut,Leyma Coruña
Ene Dom 9,12:30,Hiopos Lleida,Real Madrid
Feb Dom 9,13:00,Dreamland GC,MoraBanc And
Feb Dom 9,17:00,Bàsquet Girona,Casademont Zgz
Feb Dom 9,17:00,Baskonia,Coviran Granada
