Eq,PJ,Min,Ritmo,EfOf,EfDef,EfNeta,+/-,%RbDf,%RbOf,%RbT,AsxPer,%As,%Tap,%TiroReal,EfTiro,EfTiroR
11-08-2024,42,8.4,76.9,115.3,103.3,11.9,8.6,72,29,52,1.5,63,10,62,1.13,1.0
13-08-2024,42,8.4,76.9,115.3,103.3,11.9,8.6,72,29,52,1.5,63,10,62,1.13,1.0
