Eq,PJ,Min,Ritmo,EfOf,EfDef,EfNeta,+/-,%RbDf,%RbOf,%RbT,AsxPer,%As,%Tap,%TiroReal,EfTiro,EfTiroR
11-08-2024,36,7.275,72.9,114.1,111.9,2.2,2.5,70,27,49,1.5,56,6,60,1.12,1.09
13-08-2024,36,7.275,72.9,114.1,111.9,2.2,2.5,70,27,49,1.5,56,6,60,1.12,1.09
