Eq,PJ,Min,Ritmo,EfOf,EfDef,EfNeta,+/-,%RbDf,%RbOf,%RbT,AsxPer,%As,%Tap,%TiroReal,EfTiro,EfTiroR
15-08-2024,34,6.875,75.5,106.4,110.5,-4.1,-3.1,71,31,51,1.1,49,9,56,1.02,1.09
17-08-2024,34,6.875,75.5,106.4,110.5,-4.1,-3.1,71,31,51,1.1,49,9,56,1.02,1.09
