Eq,PJ,Min,Ritmo,EfOf,EfDef,EfNeta,+/-,%RbDf,%RbOf,%RbT,AsxPer,%As,%Tap,%TiroReal,EfTiro,EfTiroR
15-08-2024,34,6.825,77.8,103.7,108.5,-4.8,-4.7,71,31,50,1.1,55,7,54,1.0,1.07
17-08-2024,34,6.825,77.8,103.7,108.5,-4.8,-4.7,71,31,50,1.1,55,7,54,1.0,1.07
