Eq,PJ,Min,Ritmo,EfOf,EfDef,EfNeta,+/-,%RbDf,%RbOf,%RbT,AsxPer,%As,%Tap,%TiroReal,EfTiro,EfTiroR
18-08-2024,34,6.825,75.0,104.6,108.0,-3.4,-2.9,67,30,49,1.2,53,12,55,1.04,1.02
19-08-2024,34,6.825,75.0,104.6,108.0,-3.4,-2.9,67,30,49,1.2,53,12,55,1.04,1.02
