Eq,PJ,Min,Ritmo,EfOf,EfDef,EfNeta,+/-,%RbDf,%RbOf,%RbT,AsxPer,%As,%Tap,%TiroReal,EfTiro,EfTiroR
18-08-2024,39,7.875,76.2,114.8,108.2,6.6,6.3,71,31,52,1.4,56,6,61,1.16,1.06
19-08-2024,39,7.875,76.2,114.8,108.2,6.6,6.3,71,31,52,1.4,56,6,61,1.16,1.06
