PosVal,Equipo,PJ,Min,PT%,T3C,T3I,T3%,T2C,T2I,T2%,T1C,T1I,T1%,RbOf%,RbDf%,RbT%,Asi%,Rob%,Per%,TapF%,TapC%,Mates%,FaltasC%,FaltasR%,Val
1,11-08-2024,42,200:00,88.6,10.4,28.5,36.6,19.6,33.7,58.3,18.0,22.0,82.1,9.5,27.7,37.1,20.2,7.1,13.2,4.2,2.0,4.7,17.9,21.6,109.9
1,13-08-2024,42,200:00,88.6,10.4,28.5,36.6,19.6,33.7,58.3,18.0,22.0,82.1,9.5,27.7,37.1,20.2,7.1,13.2,4.2,2.0,4.7,17.9,21.6,109.9
