Eq,PJ,Min,Ritmo,EfOf,EfDef,EfNeta,+/-,%RbDf,%RbOf,%RbT,AsxPer,%As,%Tap,%TiroReal,EfTiro,EfTiroR
11-08-2024,34,6.825,75.9,111.4,111.9,-0.5,-0.3,70,29,49,1.4,51,6,58,1.09,1.12
13-08-2024,34,6.825,75.9,111.4,111.9,-0.5,-0.3,70,29,49,1.4,51,6,58,1.09,1.12
